"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.315373750E-1,-1.296873138E1,4.205803986E0,-2.934347992E0,1.394586602E1
6.415163750E-1,-9.460626526E0,2.548450470E0,-4.176614685E0,1.065092317E1
6.514943751E-1,-6.697971497E0,-9.728269958E-1,-5.875132599E0,8.962499517E0
6.614733750E-1,-4.083807678E0,-2.716251526E0,-6.339467010E0,8.015257294E0
6.714513750E-1,-1.810036011E0,-3.466341705E0,-5.839506683E0,7.027915301E0
6.814303751E-1,-1.754351807E0,-4.201013947E0,-4.358935547E0,6.302903104E0
6.914083750E-1,-3.092269592E0,-3.273842010E0,-3.184328156E0,5.515443640E0
7.013863750E-1,-3.826792145E0,-4.466711426E0,-1.829645233E0,6.159825546E0
7.113653751E-1,-6.206693115E0,-2.750979309E0,-1.128652954E-1,6.789967979E0
7.213433750E-1,-6.910379791E0,-3.759581909E0,5.098397827E-1,7.883383892E0
7.313223750E-1,-8.585695953E0,-5.339696045E0,7.967930603E-1,1.014206133E1
7.413003751E-1,-9.187594299E0,-8.099057922E0,1.499731293E0,1.233919860E1
7.512793751E-1,-1.033376083E1,-8.279432831E0,2.702480164E0,1.351440047E1
7.612573750E-1,-9.711654510E0,-1.003872437E1,4.207450562E0,1.458748986E1
7.712363750E-1,-9.370513916E0,-1.086171295E1,5.462141418E0,1.534986411E1
7.812143750E-1,-8.419990540E0,-1.136197266E1,6.040388947E0,1.537780745E1
7.911933750E-1,-7.259603577E0,-1.187989563E1,6.109545135E0,1.520395692E1
8.011713750E-1,-6.328689423E0,-1.086530548E1,5.102888489E0,1.357006426E1
8.111493750E-1,-7.606731720E0,-7.245832214E0,3.604953461E0,1.110676107E1
8.211283750E-1,-7.987839203E0,-6.155349884E0,2.569706268E0,1.040659875E1
8.311063751E-1,-7.962691498E0,-6.223757629E0,2.185605011E0,1.034004276E1
8.410853751E-1,-7.725584564E0,-5.938151550E0,1.420096893E0,9.846978007E0
8.510633750E-1,-7.660769348E0,-5.968987427E0,5.626799011E-1,9.727939483E0
8.610423750E-1,-7.031927032E0,-5.539380798E0,-4.267625427E-1,8.961856040E0
8.710203751E-1,-6.619684296E0,-5.162614288E0,-1.603016510E0,8.546488659E0
8.809993750E-1,-5.864654388E0,-6.491850128E0,-1.879491577E0,8.948227633E0
8.909773750E-1,-5.023553467E0,-7.221882019E0,-1.228944397E0,8.882678293E0
9.009563751E-1,-4.066443787E0,-5.073699188E0,-2.381547546E0,6.924605204E0
9.109343750E-1,-4.163442078E0,-2.699935455E0,-3.997287598E0,6.371986310E0
9.209123750E-1,-4.884941711E0,-2.010768585E0,-1.635948029E0,5.530114988E0
9.308913751E-1,-5.496120758E0,-2.642604675E0,1.685195618E0,6.326972983E0
9.408693750E-1,-7.544311523E0,-4.385280762E0,2.167642365E0,8.991440215E0
9.508483750E-1,-1.017973114E1,-5.141508179E0,2.492766266E0,1.167372760E1
9.608263751E-1,-1.157767410E1,-6.272256775E0,3.874692535E0,1.372577812E1
9.708053750E-1,-1.152992340E1,-7.782915344E0,6.482719116E0,1.534726529E1
9.807833750E-1,-1.087204147E1,-7.337591400E0,4.113895111E0,1.374647832E1
9.907623751E-1,-1.029080017E1,-7.475454712E0,2.298320618E0,1.292537307E1
1.000740375E0,-1.010114456E1,-9.392368469E0,2.700683899E0,1.405501336E1
1.010719375E0,-4.211941223E0,-1.114013397E1,-1.385967865E0,1.199016016E1
1.020697375E0,4.667294312E0,-7.284302216E0,-1.055500076E1,1.364744431E1
1.030676375E0,4.801714783E0,-8.049510956E0,-8.573720856E0,1.270274698E1
1.040654375E0,-1.135388947E0,-1.290900558E1,-7.547005920E0,1.499629393E1
1.050633375E0,-5.362448730E0,-1.415531387E1,-3.614832916E0,1.556264066E1
1.060611375E0,-6.866071930E0,-1.167302582E1,3.536695404E0,1.399680999E1
1.070589375E0,-7.402256927E0,-9.763446808E0,7.785460052E0,1.451660048E1
1.080568375E0,-7.563621368E0,-8.730594635E0,9.308243408E0,1.483492657E1
1.090546375E0,-7.757468262E0,-7.682623901E0,8.985813904E0,1.414022190E1
1.100525375E0,-8.166417847E0,-8.241262207E0,8.356821899E0,1.429843542E1
1.110503375E0,-8.270002441E0,-9.709708557E0,7.949967957E0,1.502908418E1
1.120482375E0,-7.439679108E0,-9.485624542E0,7.111561432E0,1.399643541E1
1.130460375E0,-5.882167969E0,-9.096433868E0,4.317920837E0,1.166145143E1
1.140439375E0,-4.137246552E0,-9.980645142E0,-1.606758728E0,1.092299227E1
1.150417375E0,-3.219205627E0,-9.752369843E0,-6.421795807E0,1.211245078E1
1.160396375E0,-3.170706482E0,-6.629563751E0,-8.082891541E0,1.092417643E1
1.170374375E0,-2.520907745E0,-4.378245392E0,-9.751771088E0,1.098276140E1
1.180353375E0,-3.576961670E0,-4.573289795E0,-6.902745667E0,9.019841023E0
1.190331375E0,-5.338049469E0,-5.076842651E0,-5.658233643E0,9.288956421E0
1.200310375E0,-6.733298035E0,-5.137616272E0,-4.511468353E0,9.596132038E0
1.210288375E0,-6.477480011E0,-6.807244263E0,-4.462969208E0,1.040261582E1
1.220267375E0,-5.743406525E0,-8.543483734E0,-4.889132996E0,1.139655449E1
1.230245375E0,-3.949985962E0,-8.012388153E0,-4.009861450E0,9.791820151E0
1.240224375E0,-1.730850677E0,-6.946155396E0,-8.922944641E-1,7.213952333E0
1.250202375E0,-2.468367004E-1,-6.575226746E0,4.706812134E0,8.090031865E0
1.260181375E0,6.177653503E-1,-6.737040253E0,1.053389465E1,1.251927642E1
1.270159375E0,5.498066711E-1,-6.455775146E0,1.405247772E1,1.547421889E1
1.280138375E0,6.261479187E-1,-6.993157654E0,1.175385773E1,1.369121933E1
1.290116375E0,8.952882385E-1,-7.532785492E0,6.806346130E0,1.019169986E1
1.300095375E0,1.348395996E0,-8.188571777E0,1.802551575E0,8.492353719E0
1.310073375E0,1.828148346E0,-8.762927399E0,-1.653012543E0,9.102937627E0
1.320051458E0,2.173629913E0,-9.391170959E0,-3.466042328E0,1.024364234E1
1.330029458E0,2.370620270E0,-9.843081207E0,-3.656895447E0,1.076470958E1
