"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.676057362031187E9,"2023-02-10 14:29:22.031 UTC-05:00"
"PAUSE",1.918225761665963E2,1.676057553903297E9,"2023-02-10 14:32:33.903 UTC-05:00"
