"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.203458356E-3,-1.494334897E-1,4.792027116E-1,-8.499091673E-1,9.870720335E-1
1.314645834E-2,-4.012125492E-2,5.602421969E-1,-9.575213242E-1,1.110102752E0
2.309045836E-2,8.737669766E-2,5.919607106E-1,-1.062111640E0,1.219070673E0
3.303445835E-2,9.848436087E-2,6.388711676E-1,-1.014396021E0,1.202852787E0
4.297745836E-2,1.208692566E-1,6.689840358E-1,-8.635115451E-1,1.099000094E0
5.292145835E-2,1.547106019E-1,6.704288828E-1,-6.731396520E-1,9.625628543E-1
6.286445833E-2,5.385433258E-1,4.321837887E-1,-5.328228486E-1,8.721880124E-1
7.280845835E-2,8.013426326E-1,1.824287429E-1,-7.277093768E-2,8.250611314E-1
8.275145834E-2,3.241064858E-1,5.126612104E-1,5.365112722E-1,8.097597644E-1
9.269545836E-2,6.192727625E-2,6.199900697E-1,5.778522563E-1,8.497857990E-1
1.026394583E-1,-2.918905203E-1,6.421304056E-1,4.995679790E-1,8.643492924E-1
1.125824584E-1,-5.896440437E-1,6.904969655E-1,4.055500138E-1,9.944531016E-1
1.225264583E-1,-5.877781972E-1,7.283022845E-1,7.462625921E-2,9.388698021E-1
1.324694584E-1,-4.965144168E-1,6.926836780E-1,3.174219489E-2,8.528451271E-1
1.424134584E-1,-3.999486005E-1,5.073821249E-1,9.811347198E-1,1.174742883E0
1.523564584E-1,-3.442444062E-1,2.272365412E-1,4.091908996E0,4.112646336E0
1.623004584E-1,-4.469491777E-1,7.763145031E-1,3.797605768E0,3.901824873E0
1.722434583E-1,7.701682024E-2,1.380346498E0,2.560333766E0,2.909741748E0
1.821874584E-1,9.326796477E-1,7.383023389E-1,1.648209640E0,2.032628024E0
1.921317917E-1,2.282642186E0,-3.449798032E-1,2.003197610E-1,2.317238533E0
2.020747917E-1,2.509686061E0,-7.402037072E-1,-1.862630546E-1,2.623188819E0
2.120187917E-1,1.336636222E0,4.895287848E-1,-6.929201978E-1,1.583152937E0
2.219617917E-1,1.217813418E0,5.151656460E-1,-1.427090163E0,1.945520881E0
2.319057917E-1,1.404797800E0,-5.566533221E-1,-1.536288670E0,2.154878803E0
2.418487917E-1,5.454134022E-1,-9.535006325E-1,-1.650305282E0,1.982459775E0
2.517927917E-1,-7.148828515E-1,-1.282727379E0,-1.970927412E0,2.457844967E0
2.617367917E-1,-1.537361634E0,-1.573702079E0,-1.780604051E0,2.830295004E0
2.716797917E-1,-1.843580756E0,-1.827882005E0,-1.211251892E0,2.864799081E0
2.816237917E-1,-1.851771536E0,-2.771835743E0,-4.507419741E-1,3.363822161E0
2.915667917E-1,-1.668412501E0,-2.575711359E0,-7.467204291E-1,3.158398435E0
3.015107917E-1,-1.440520779E-1,-2.116881077E0,-5.619209325E-1,2.194924061E0
3.114537917E-1,9.237466371E-1,-2.585481764E0,1.743850207E-1,2.751078686E0
3.213977917E-1,1.242882113E0,-3.125744317E0,7.932660198E-1,3.456053307E0
3.313417917E-1,2.099533704E0,-3.246992181E0,-7.717757481E-1,3.942922495E0
3.412847917E-1,-2.317634263E0,-2.191538765E0,-4.445860839E0,5.471740979E0
3.512287917E-1,-1.480967110E1,1.622520483E0,-1.041380688E1,1.817708185E1
3.611717917E-1,-2.440567002E0,-7.184586723E0,-6.152446741E0,9.768687455E0
3.711157917E-1,4.179154131E-1,-3.781172753E0,-2.182812381E-1,3.810455009E0
3.810587917E-1,9.334612012E-2,-2.513005233E0,2.511782581E0,3.554287627E0
3.910027917E-1,7.704092538E-1,-2.724346996E0,-2.033211368E-1,2.838474319E0
4.009457917E-1,2.995037413E-1,-2.630279329E0,-8.027426022E-1,2.766309369E0
4.108897917E-1,-2.182069784E-1,-2.037028138E0,-7.426998836E-1,2.179151449E0
4.208337917E-1,-4.234924874E-1,-1.248631387E0,-4.145126259E-1,1.382116835E0
4.307767917E-1,-1.917909831E0,-6.967771675E-1,-6.840178120E-1,2.152151692E0
4.407207917E-1,-1.658790177E0,-3.385505703E-1,-8.385708314E-1,1.889286209E0
4.506637917E-1,5.585903585E-2,6.068973133E-2,-8.867179745E-1,8.905460357E-1
4.606077917E-1,2.208860557E0,4.246344486E-1,-2.857937747E-1,2.267390010E0
4.705507917E-1,3.739610159E0,8.587071803E-1,-1.618287098E-1,3.840345127E0
4.804947917E-1,4.468782510E0,5.573750147E-1,7.164569950E-1,4.560043273E0
4.904377917E-1,5.030832666E0,3.928801938E-1,1.975364864E0,5.419012687E0
5.003817917E-1,4.607191951E0,7.713977256E-1,2.614949099E0,5.353431696E0
5.103257917E-1,3.558151762E0,1.334724183E0,3.086449274E0,4.895722799E0
5.202687917E-1,3.078852864E0,3.511796790E0,2.836229374E0,5.464087181E0
5.302127917E-1,3.026956778E0,5.607790883E0,2.903954750E0,7.003052128E0
5.401557917E-1,2.207882318E0,5.828759501E0,2.707522802E0,6.795576604E0
5.500997917E-1,1.383237215E0,4.644359193E0,1.622902890E0,5.110502059E0
