"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.713070834E-2,-2.934843251E-1,-1.128536010E-1,-5.498171961E-1,6.333781915E-1
4.707370835E-2,-4.968363060E-1,-4.992305946E-1,-1.764157587E-1,7.260854092E-1
5.701670834E-2,-5.502469665E-1,-6.859143564E-1,-1.954952234E-1,9.008155254E-1
6.695870834E-2,-5.083101511E-1,-6.926044482E-1,-8.587121505E-1,1.214687898E0
7.690170835E-2,-5.103022975E-1,-8.329420093E-1,-1.449481491E0,1.747912303E0
8.684470833E-2,-5.124299531E-1,-7.452112627E-1,-1.744395168E0,1.964901724E0
9.678770835E-2,-4.340366252E-1,-5.521809331E-1,-1.614439631E0,1.760598448E0
1.067307084E-1,-3.583808175E-1,-4.815231791E-1,-1.547462699E0,1.659801852E0
1.166727083E-1,-4.027996297E-1,-5.765962744E-1,-1.819126677E0,1.950367317E0
1.266157083E-1,-5.916331203E-1,-5.771505904E-1,-2.179499933E0,2.330955279E0
1.365587084E-1,-8.149638677E-1,-6.610739225E-1,-2.153313763E0,2.395400801E0
1.465017083E-1,-1.570001230E0,-1.535853929E0,-1.899092613E0,2.903498564E0
1.564437083E-1,-5.180923967E-1,-1.643791776E0,-2.207353145E0,2.800514067E0
1.663867084E-1,-8.430208549E-1,-1.237397132E0,-2.619813983E0,3.017492523E0
1.763297083E-1,7.504550457E-1,-1.638757616E0,-2.477655891E0,3.063900784E0
1.862727083E-1,2.210498655E0,-1.992431425E0,-2.171147770E0,3.683744009E0
1.962157083E-1,2.220538909E0,-2.171097777E0,-9.388482410E-1,3.244363515E0
2.061587083E-1,1.685426437E0,-2.795118478E0,1.660594627E0,3.662092857E0
2.161007083E-1,7.250497708E-1,-3.842989224E0,5.876831215E0,7.059136525E0
2.260437083E-1,-5.094673151E-1,-3.929858091E0,4.993277754E0,6.374650131E0
2.359867083E-1,-1.224687039E0,-2.315797945E0,2.825129605E0,3.852808813E0
2.459297084E-1,-2.477217935E0,-1.220432898E0,4.989050801E0,5.702341015E0
2.558727083E-1,-1.513468010E0,-1.152166362E0,3.726979589E0,4.184309931E0
2.658147083E-1,5.983417770E-1,-2.010295984E0,1.507542588E0,2.583019063E0
2.757577084E-1,1.159632087E0,-2.218798192E0,-3.832013708E-1,2.532716977E0
2.857007083E-1,1.659197143E0,-1.899258382E0,-1.521798100E0,2.945502846E0
2.956437083E-1,2.054780431E0,-1.902815243E0,-2.224992440E0,3.576789039E0
3.055867083E-1,2.131190530E0,-2.238817305E0,-2.369327450E0,3.894610194E0
3.155287083E-1,2.330216010E0,-2.841351828E0,-1.903519540E0,4.138426452E0
3.254717083E-1,2.380883303E0,-3.338694941E0,-1.508050711E0,4.369176828E0
3.354147083E-1,1.989079801E0,-3.422989571E0,-9.077387148E-1,4.061685073E0
3.453577083E-1,1.034482084E0,-2.795316406E0,-6.900889760E-1,3.059439457E0
3.553007084E-1,1.719443929E-1,-2.130402033E0,-7.787321806E-1,2.274775045E0
3.652427084E-1,-3.396975017E-1,-1.485772820E0,-5.096643662E-1,1.607069703E0
3.751857083E-1,-5.045778733E-1,-7.992817815E-1,-4.164854765E-2,9.461420601E-1
3.851287084E-1,-1.558645499E-1,-8.970654997E-1,2.508753723E-1,9.444356628E-1
3.950717083E-1,4.567757159E-1,-1.680853183E0,3.483151281E-1,1.776298090E0
4.050147083E-1,1.029471313E0,-2.690953255E0,2.516220617E-1,2.892119338E0
4.149567084E-1,1.640789523E0,-3.433223368E0,2.783952928E-1,3.815326578E0
4.248997083E-1,1.861327202E0,-3.399049609E0,4.850639606E-1,3.905555561E0
4.348427083E-1,1.727511333E0,-3.036776007E0,4.271876353E-1,3.519771754E0
4.447857084E-1,1.260267931E0,-2.285102841E0,2.794056916E-1,2.624507152E0
4.547287083E-1,3.667081296E-1,-1.075571930E0,1.716549557E-1,1.149258567E0
4.646707083E-1,-2.317158008E-1,-1.348995043E-1,6.238470393E-1,6.790251962E-1
4.746137084E-1,-2.109125769E-1,2.341415182E-2,1.300515486E0,1.317715017E0
4.845567083E-1,-4.224993378E-1,1.579289094E-2,1.695558053E0,1.747475956E0
4.944997084E-1,-6.723853612E-1,-1.649134085E-2,1.806224796E0,1.927387364E0
5.044427083E-1,-8.820402020E-1,2.738379729E-1,1.365762227E0,1.648723328E0
5.143847083E-1,-7.012975037E-1,8.962612152E-1,8.070800668E-1,1.395163284E0
5.243277084E-1,-3.404582244E-1,1.626327897E0,1.167209494E-1,1.665676443E0
5.342707083E-1,-5.496850491E-1,2.502647768E0,-1.101332424E0,2.788966226E0
5.442137083E-1,-1.186739779E0,3.740287267E0,-1.942721613E0,4.378614782E0
5.541567084E-1,-2.223531221E0,5.173535133E0,-1.880631199E0,5.936862014E0
5.640987083E-1,-3.246449559E0,6.165607070E0,-1.974552101E0,7.242444427E0
5.740417083E-1,-3.866381303E0,5.807410147E0,-1.833239517E0,7.213576375E0
5.839847084E-1,-4.366877820E0,3.255417726E0,-1.477208403E0,5.643537112E0
5.939277083E-1,-3.741204110E0,-1.285647186E0,1.911478186E-1,3.960559856E0
6.038707083E-1,-2.486057755E0,-5.072212826E0,2.362268107E0,6.122755648E0
6.138127084E-1,-2.150518793E0,-6.900722530E0,4.254609233E0,8.387276211E0
6.237557083E-1,-1.730043762E0,-7.457200289E0,5.712013993E0,9.551439234E0
6.336987083E-1,-1.501740981E0,-7.453084434E0,4.843463902E0,9.014590181E0
6.436417083E-1,-7.210295177E-1,-7.734702128E0,2.598726584E0,8.191390628E0
6.535847083E-1,1.452881062E-1,-7.762326713E0,1.348163569E0,7.879871169E0
6.635267083E-1,9.988354111E-1,-7.979324487E0,9.958170784E-1,8.103020616E0
6.734697083E-1,1.911439594E0,-7.918016431E0,1.592228397E0,8.299625100E0
6.834127083E-1,1.994967654E0,-7.339794631E0,2.855617864E0,8.124471340E0
6.933557084E-1,2.244634407E0,-6.836400819E0,3.351367612E0,7.937658637E0
7.032987083E-1,2.682413104E0,-6.565288233E0,2.182593987E0,7.420381807E0
7.132417083E-1,2.470532813E0,-5.388912059E0,1.872006556E-1,5.931184506E0
7.231837084E-1,7.205751890E-1,-3.345766564E0,-1.936000239E0,3.932108776E0
7.331267083E-1,-9.542071223E-1,-1.972963412E0,-3.672896937E0,4.277062984E0
7.430697083E-1,-3.561801009E0,1.282868882E0,-4.530268906E0,5.903855973E0
7.530127083E-1,-2.908175855E0,1.930768735E0,-4.419914989E0,5.632140199E0
7.629557083E-1,9.180128574E-3,5.395296049E-1,-2.363509325E0,2.424325225E0
7.728977083E-1,-8.277540672E-1,2.191879366E0,-1.445087308E0,2.752778465E0
7.828407084E-1,-3.311919079E0,4.701352589E0,-3.965646560E0,6.985547708E0
7.927837083E-1,-1.762658361E0,4.448521323E0,-4.468381975E0,6.546964482E0
8.027267084E-1,-7.181228667E-1,4.133116078E0,-1.335654913E0,4.402535976E0
8.126697083E-1,-4.985773437E0,6.044176773E0,3.386744728E0,8.535809832E0
8.226117083E-1,-4.013848667E0,5.500913136E0,-3.061099255E-1,6.816504217E0
8.325547084E-1,-3.796215885E0,4.924342589E0,9.424518800E-1,6.288769397E0
8.424977083E-1,-3.342915754E0,5.593176937E0,1.129018405E0,6.613123055E0
8.524407083E-1,-2.830535941E0,5.134682139E0,2.008232063E-1,5.866619499E0
8.623837084E-1,-2.890357634E0,4.987723483E0,-4.458742402E-1,5.781899051E0
8.723257083E-1,-2.445034275E0,5.054119202E0,-3.612356474E-1,5.626082536E0
8.822687083E-1,-2.078438997E0,5.058146764E0,-1.060440067E-1,5.469552329E0
8.922117084E-1,-1.905616352E0,5.206292989E0,2.677632274E-1,5.550545695E0
9.021547083E-1,-2.153586828E0,5.088806055E0,2.174093451E-1,5.530022614E0
9.120977084E-1,-2.961963222E0,5.936334236E0,3.543102783E-1,6.643705748E0
9.220397084E-1,-2.698854305E0,5.374251335E0,5.015160520E-2,6.014059125E0
9.319827083E-1,-1.433245527E0,3.508713554E0,-2.619166331E-1,3.799192528E0
9.419257084E-1,-8.511557937E-1,2.314265098E0,-6.678999621E-1,2.554677961E0
9.518687083E-1,-8.907747728E-1,1.798445368E0,-5.225750184E-1,2.073878031E0
9.618117083E-1,-1.202568192E0,1.356311372E0,6.112626618E-1,1.912953955E0
9.717537083E-1,-1.439161740E0,5.762746775E-1,9.262357968E-1,1.805877008E0
9.816967083E-1,-1.461426183E0,-5.239295259E-1,6.468423843E-1,1.681866138E0
