"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.433139167E-1,6.987889020E-1,6.231670082E-4,-1.478546830E0,1.635361443E0
6.532591250E-1,3.604575292E-1,7.883778937E-1,-6.275588518E-1,1.070186641E0
6.632031250E-1,5.703093847E-1,7.899711138E-1,-4.474482375E-1,1.072155343E0
6.731471250E-1,1.112209853E0,5.254344530E-1,1.617515266E-2,1.230184440E0
6.830921250E-1,1.732708484E0,9.201821744E-2,1.488564865E0,2.286169591E0
6.930361250E-1,2.131760049E0,-5.356374058E-1,2.644620211E0,3.438796940E0
7.029801250E-1,2.041900623E0,-9.989877310E-1,2.919033549E0,3.699742086E0
7.129251250E-1,1.583151764E0,-9.830656166E-1,2.446766220E0,3.075622287E0
7.228691250E-1,9.529488015E-1,-7.982937482E-1,1.531148967E0,1.972257966E0
7.328131250E-1,4.124924129E-1,-7.060659081E-1,6.619872576E-1,1.052096092E0
7.427581250E-1,2.303554460E-2,-4.643677408E-1,-2.547304416E-1,5.301468031E-1
7.527021250E-1,-1.431893943E-1,-2.479812929E-1,-1.249804924E0,1.282189639E0
7.626461250E-1,-2.522187701E-1,-7.183859915E-2,-2.121558119E0,2.137705299E0
7.725911250E-1,-3.878371896E-1,1.841726750E-1,-2.291892774E0,2.331761082E0
7.825351250E-1,-3.916324711E-1,4.462267542E-1,-2.274597294E0,2.350805641E0
7.924791250E-1,-9.320378427E-1,1.492923672E0,-4.064458072E0,4.429146086E0
8.024241250E-1,-5.262184185E0,4.299823413E0,-5.174906890E0,8.541587973E0
8.123681250E-1,-4.910801607E0,2.690989508E0,-3.456616616E0,6.580698701E0
8.223121250E-1,5.348009616E-1,-8.822164956E-1,-2.119476510E0,2.357222665E0
8.322571250E-1,-2.768963590E-2,5.110282293E-1,-2.327443260E0,2.383046096E0
8.422011250E-1,-3.283315377E-1,5.724738412E-1,-2.404098503E0,2.493033796E0
8.521451250E-1,-5.643492812E-1,5.184813827E-2,-3.004732681E0,3.057711043E0
8.620901250E-1,-1.147423101E0,-7.484348327E-2,-3.579527428E0,3.759680562E0
8.720341250E-1,-1.230415556E0,-8.359091789E-2,-3.957387367E0,4.145096460E0
8.819781250E-1,-1.471347592E0,-1.481050023E-1,-3.923855340E0,4.193261208E0
8.919231250E-1,-1.469857283E0,-8.861426085E-2,-3.814128830E0,4.088509710E0
9.018671250E-1,-8.597547090E-1,1.285791028E-1,-3.298463466E0,3.411095423E0
9.118111250E-1,-3.626853915E-1,2.222316170E-1,-2.971629839E0,3.001917968E0
9.217561250E-1,-5.193991032E-1,4.100988552E-1,-2.964319650E0,3.037292789E0
9.317001250E-1,-8.819776368E-1,6.315644869E-1,-3.175717546E0,3.355881432E0
9.416441250E-1,-8.387090450E-1,9.802428733E-1,-2.877247592E0,3.153230512E0
9.515891250E-1,-1.058848163E-1,1.735960413E0,-3.343970007E-1,1.771042491E0
9.615331250E-1,5.065295278E-1,1.791852924E0,2.710138262E0,3.288184676E0
9.714771250E-1,1.043539348E0,2.256308081E0,6.097010459E0,6.584332697E0
9.814221250E-1,1.350855335E0,2.106538815E0,1.029011488E1,1.059003211E1
9.913661250E-1,1.491836967E0,1.846003696E0,1.548237104E1,1.566324105E1
1.001310125E0,2.508236244E0,1.012547424E0,1.962366503E1,1.980920823E1
1.011254125E0,3.890924991E0,-1.051341069E-1,2.290505931E1,2.323342619E1
1.021199125E0,4.747127516E0,-5.234064925E-1,2.439826043E1,2.486130097E1
1.031143125E0,4.497031870E0,-9.066049397E-2,2.332090627E1,2.375070913E1
1.041087125E0,3.862209607E0,3.618432462E-1,2.158814004E1,2.193388666E1
1.051032125E0,4.013063385E0,-4.429675162E-2,2.000586244E1,2.040444000E1
1.060976125E0,3.953358636E0,-3.957243526E-1,1.748487634E1,1.793060353E1
1.070920125E0,3.730682631E0,-8.527558842E-1,1.418841613E1,1.469545296E1
1.080865125E0,3.663732596E0,-9.697270945E-1,1.052081560E1,1.118261455E1
1.090809125E0,2.965490555E0,-3.050784767E-1,6.908811568E0,7.524552106E0
1.100753125E0,1.815483715E0,4.507706255E-1,4.286890249E0,4.677243128E0
1.110698125E0,6.079931181E-1,1.046199612E0,3.580218569E0,3.779173754E0
1.120642125E0,-3.953120508E-1,1.315574405E0,3.883798989E0,4.119575490E0
1.130586125E0,-4.697495180E-1,9.237114076E-1,4.163668950E0,4.290693009E0
1.140531125E0,-5.618288389E-1,3.781694032E-1,3.915144743E0,3.973288575E0
1.150475125E0,-1.147804778E0,4.083563849E-1,2.482696776E0,2.765500683E0
1.160419125E0,-1.647211228E0,7.276310241E-1,-2.142337954E-1,1.813462946E0
1.170363125E0,-1.918610473E0,1.371952381E0,-3.992907448E0,4.637524057E0
1.180308125E0,-1.848903769E0,2.075493169E0,-7.552141530E0,8.047419383E0
1.190252125E0,-1.570923336E0,2.420586774E0,-9.890773437E0,1.030312766E1
1.200196125E0,-1.105401793E0,2.646945648E0,-1.090668740E1,1.127759125E1
1.210141125E0,-1.141579832E0,2.499048514E0,-1.112862197E1,1.146275163E1
1.220085125E0,-1.586967219E0,1.884478521E0,-1.098637325E1,1.125922384E1
1.230029125E0,-1.687898201E0,1.131047389E0,-9.732404525E0,9.942231458E0
1.239974125E0,-2.021769829E0,4.287906495E-1,-8.062245022E0,8.322932744E0
1.249918125E0,-2.150912019E0,-1.486102018E-1,-6.777075554E0,7.111769158E0
1.259862125E0,-1.967385753E0,-6.073942901E-1,-6.392669072E0,6.716081624E0
1.269806125E0,-1.769650315E0,-9.805783573E-1,-7.154899240E0,7.435440760E0
1.279751125E0,-1.388946583E0,-9.571868634E-1,-8.255024214E0,8.425604078E0
1.289695125E0,-1.009737545E0,-5.794181406E-1,-9.491029124E0,9.562161320E0
1.299639125E0,-5.980307052E-1,-4.909236015E-1,-1.076238513E1,1.079016128E1
1.309584125E0,-2.743352786E-1,-4.467154352E-1,-1.145888441E1,1.147086947E1
1.319528125E0,-2.709517872E-1,-3.121847440E-1,-1.131529550E1,1.132284357E1
1.329472125E0,-3.608945355E-1,-3.966859272E-1,-1.063118063E1,1.064469850E1
1.339417125E0,-4.938608041E-1,-5.878170812E-1,-9.726425747E0,9.756679006E0
1.349361125E0,-7.936930127E-1,-8.873111746E-1,-8.888029747E0,8.967404446E0
1.359305125E0,-1.608440095E0,-1.460017881E0,-8.306842239E0,8.586172589E0
1.369249125E0,-1.554334931E0,-1.199201219E0,-8.060288544E0,8.295920205E0
1.379194125E0,-1.541323122E0,-1.235904630E0,-7.704806483E0,7.954066895E0
