"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.676053368718864E9,"2023-02-10 13:22:48.719 UTC-05:00"
"PAUSE",3.221234988333890E2,1.676053690844584E9,"2023-02-10 13:28:10.845 UTC-05:00"
"START",3.221234988333890E2,1.676053693227935E9,"2023-02-10 13:28:13.228 UTC-05:00"
"PAUSE",3.244285231251270E2,1.676053695532975E9,"2023-02-10 13:28:15.533 UTC-05:00"
