"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.677868194773821E9,"2023-03-03 13:29:54.774 UTC-05:00"
"PAUSE",2.057574333273806E0,1.677868196831387E9,"2023-03-03 13:29:56.831 UTC-05:00"
"START",2.057574333273806E0,1.677868423282650E9,"2023-03-03 13:33:43.283 UTC-05:00"
"PAUSE",2.944396500010043E0,1.677868424169468E9,"2023-03-03 13:33:44.169 UTC-05:00"
"START",2.944396500010043E0,1.677868427563167E9,"2023-03-03 13:33:47.563 UTC-05:00"
"PAUSE",2.444169710417045E2,1.677868669034942E9,"2023-03-03 13:37:49.035 UTC-05:00"
"START",2.444169710417045E2,1.677868689278199E9,"2023-03-03 13:38:09.278 UTC-05:00"
"PAUSE",3.316738631667104E2,1.677868776534757E9,"2023-03-03 13:39:36.535 UTC-05:00"
