"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.676316367053470E9,"2023-02-13 14:26:07.053 UTC-05:00"
"PAUSE",2.450753325832775E2,1.676316612130610E9,"2023-02-13 14:30:12.131 UTC-05:00"
