"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.675254167E-2,-1.283631943E0,2.020813517E0,-2.189454818E-1,2.404024825E0
4.669454158E-2,-1.298539712E0,2.089833466E0,4.019896442E-1,2.493031282E0
5.663654162E-2,-1.127043216E0,2.051727161E0,8.881756854E-1,2.503730577E0
6.657854165E-2,-1.091280183E0,1.982829273E0,1.453919528E0,2.690053226E0
7.651954168E-2,-1.174567630E0,1.958884487E0,1.859480066E0,2.945251036E0
8.646154159E-2,-1.188296308E0,1.973029924E0,2.140516546E0,3.144313325E0
9.640354163E-2,-1.193121138E0,2.057211996E0,2.140009008E0,3.199265197E0
1.063455417E-1,-1.160649211E0,2.190752169E0,1.949868665E0,3.154122614E0
1.162875416E-1,-9.517512918E-1,2.265591998E0,1.776796929E0,3.032448672E0
1.262295416E-1,-5.883094168E-1,2.218979456E0,1.917639982E0,2.991207264E0
1.361715416E-1,-2.959898570E-1,2.210601566E0,2.116102667E0,3.074452760E0
1.461135417E-1,-5.960008442E-2,2.172780021E0,2.450337115E0,3.275465946E0
1.560555416E-1,5.800437927E-3,1.933507863E0,2.727051333E0,3.342947094E0
1.659965416E-1,8.869319826E-2,1.351596762E0,2.726520406E0,3.044436535E0
1.759385417E-1,9.903429151E-2,4.080365422E-1,3.328623989E0,3.355002127E0
1.858805417E-1,-6.909260049E-2,-2.355662654E-1,3.920653405E0,3.928331500E0
1.958225416E-1,-9.809769912E-1,-2.085235508E-1,4.913159789E0,5.014472758E0
2.057645416E-1,-1.926374991E0,-5.736904275E-2,6.082460248E0,6.380480740E0
2.157065417E-1,-2.666098788E0,2.266591287E-1,6.467746736E0,6.999371754E0
2.256485416E-1,-2.939378352E0,7.110114100E-1,6.987508659E0,7.613853136E0
2.355905416E-1,-2.968299850E0,1.034859230E0,6.755791104E0,7.451338877E0
2.455325417E-1,-2.546304834E0,7.867296367E-1,6.161605820E0,6.713270299E0
2.554735417E-1,-1.138675959E0,-2.679325774E-1,5.945632478E0,6.059613549E0
2.654155416E-1,5.439552163E-1,-1.294797055E0,4.830235747E0,5.030264810E0
2.753575416E-1,1.884893820E0,-2.080928595E0,3.206333567E0,4.261884967E0
2.852995417E-1,2.569535237E0,-3.208270749E0,1.959454005E0,4.553567012E0
2.952415416E-1,2.546246947E0,-4.365278314E0,1.878063687E0,5.391303320E0
3.051835416E-1,1.622286886E0,-4.806966752E0,4.586234361E-1,5.094023906E0
3.151255416E-1,7.567611216E-1,-5.055793260E0,-2.034412386E0,5.502051130E0
3.250675417E-1,3.383377317E-1,-5.944499872E0,-2.462406937E0,6.443213412E0
3.350080416E-1,2.938401282E-1,-6.510125016E0,-2.211173131E0,6.881668138E0
3.449500416E-1,-8.162508398E-2,-6.006458724E0,-2.682542328E0,6.578772104E0
3.548920417E-1,-1.414870798E0,-3.649327396E0,-3.494467397E0,5.246975529E0
3.648340417E-1,-2.653857642E0,-1.340050265E0,-3.788803369E0,4.815986510E0
3.747760416E-1,-1.951016327E0,-1.285724954E0,-3.470948727E0,4.184141301E0
3.847180416E-1,-8.375586784E-1,-1.284534607E0,-3.142434025E0,3.496630563E0
3.946600417E-1,-1.206676738E-1,-8.645820241E-1,-3.028999211E0,3.152284724E0
4.046020416E-1,5.814380613E-1,-4.476537672E-1,-3.339248380E0,3.418924372E0
4.145430416E-1,1.230705578E0,-1.386689119E-1,-3.873664010E0,4.066833922E0
