"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.791125026E-3,7.645746097E-2,1.642535502E0,2.317072638E0,2.841231111E0
1.373512496E-2,1.124657844E-1,1.438372951E0,2.882027691E0,3.222987575E0
2.367812500E-2,1.284033939E-1,1.099880560E0,3.162547277E0,3.350810344E0
3.362212493E-2,1.976085533E-1,9.846880728E-1,3.374374943E0,3.520662722E0
4.356512497E-2,2.280607063E-1,9.566892654E-1,3.535994908E0,3.670221522E0
5.350912502E-2,3.685909331E-2,1.210995199E0,3.568009583E0,3.768097709E0
6.345212494E-2,-1.598046961E-1,1.344681845E0,3.647804196E0,3.891038712E0
7.339612499E-2,-4.983206217E-1,1.216941233E0,3.657068524E0,3.886311825E0
8.333912503E-2,-5.241055271E-1,9.589100379E-1,3.262795451E0,3.440934352E0
9.328312497E-2,-2.722011910E-1,5.718688005E-1,2.617737637E0,2.693265258E0
1.032261250E-1,-3.644554898E-2,1.916091639E-1,1.866929419E0,1.877090250E0
1.131701249E-1,5.416129678E-3,-2.969508469E-2,1.064178046E0,1.064606052E0
1.231131250E-1,5.582044423E-2,-1.349209929E-1,6.233202052E-1,6.401934665E-1
1.330571250E-1,1.879245409E-1,-2.449480498E-1,6.239388406E-1,6.961428424E-1
1.430001250E-1,2.295188557E-1,-4.694314295E-1,5.497230560E-1,7.584459179E-1
1.529441250E-1,1.205885902E-1,-7.101700687E-1,1.546775651E-1,7.367552401E-1
1.628881249E-1,-3.737116322E-2,-1.009518274E0,-2.932916594E-1,1.051923831E0
1.728311250E-1,1.428430930E-2,-1.893734225E0,-8.886159807E-1,2.091906240E0
1.827751250E-1,-5.203441595E-1,-2.333248960E0,-1.129979103E0,2.644175018E0
1.927181249E-1,-9.652165523E-1,-1.966985804E0,-1.371641017E0,2.584971030E0
2.026621250E-1,-6.855790186E-1,-2.468041314E0,-2.371002678E0,3.490401154E0
2.126050000E-1,-8.943287104E-2,-2.851468973E0,-2.321044067E0,3.677787256E0
2.225489999E-1,2.952548620E-1,-2.708416257E0,-1.493084178E0,3.106765910E0
2.324920000E-1,4.574268034E-1,-2.217725521E0,-1.271997446E-1,2.267978294E0
2.424360000E-1,3.609661639E-2,-1.567068413E0,2.322269059E0,2.801774430E0
2.523790000E-1,-8.563612774E-1,-5.417316663E-1,1.349914518E0,1.687926847E0
2.623230000E-1,-3.832806006E-1,1.246994167E0,-3.684134116E0,3.908291527E0
2.722659999E-1,-6.489196077E-1,2.061057563E0,-1.628694558E0,2.705864169E0
2.822100000E-1,-2.025373468E0,-5.881094420E-1,-1.382340837E0,2.521681302E0
2.921530000E-1,-1.972001545E0,-1.884793248E0,-1.460103543E0,3.094048810E0
3.020969999E-1,-8.772443157E-1,-2.292315527E0,-1.935257642E0,3.125618372E0
3.120400000E-1,6.942466387E-1,-2.234300038E0,-2.130498512E0,3.164348111E0
3.219840000E-1,3.006022869E0,-2.873574371E0,-3.608638961E0,5.505985680E0
3.319270000E-1,4.196330034E0,-3.161882449E0,-3.182426056E0,6.142843151E0
3.418710000E-1,4.071673244E0,-3.293506197E0,-1.961469541E0,5.592232902E0
3.518139999E-1,3.261214364E0,-3.261352358E0,-2.113833947E0,5.073483250E0
3.617580000E-1,3.281160970E0,-4.623262439E0,-4.106160414E0,7.000080445E0
3.717010000E-1,1.994340833E0,-4.333903617E0,-4.167517002E0,6.334691301E0
3.816450000E-1,6.616393483E-1,-3.539718415E0,-3.957944022E0,5.350952622E0
