"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678990378816302E9,"2023-03-16 14:12:58.816 UTC-04:00"
"PAUSE",5.316890179167967E1,1.678990431984121E9,"2023-03-16 14:13:51.984 UTC-04:00"
