"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678990548353556E9,"2023-03-16 14:15:48.354 UTC-04:00"
"PAUSE",3.526123320832266E1,1.678990583614067E9,"2023-03-16 14:16:23.614 UTC-04:00"
