"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678990483259957E9,"2023-03-16 14:14:43.260 UTC-04:00"
"PAUSE",3.303741366666509E1,1.678990516296693E9,"2023-03-16 14:15:16.297 UTC-04:00"
"START",3.303741366666509E1,1.678990517785479E9,"2023-03-16 14:15:17.785 UTC-04:00"
"PAUSE",3.374257720835158E1,1.678990518490627E9,"2023-03-16 14:15:18.491 UTC-04:00"
