"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.676146157781753E9,"2023-02-11 15:09:17.782 UTC-05:00"
"PAUSE",1.198244467958342E3,1.676147356018090E9,"2023-02-11 15:29:16.018 UTC-05:00"
