"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678985012910109E9,"2023-03-16 12:43:32.910 UTC-04:00"
"PAUSE",2.700336983334273E1,1.678985039913479E9,"2023-03-16 12:43:59.913 UTC-04:00"
