"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.676145059478142E9,"2023-02-11 14:50:59.478 UTC-05:00"
"PAUSE",4.109052657083375E2,1.676145470383513E9,"2023-02-11 14:57:50.384 UTC-05:00"
