"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678985170534169E9,"2023-03-16 12:46:10.534 UTC-04:00"
"PAUSE",3.546509387501283E1,1.678985205999263E9,"2023-03-16 12:46:45.999 UTC-04:00"
