"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.271808333E-1,-7.056496448E0,8.103958474E0,-8.461380640E0,1.367710669E1
6.371598333E-1,-5.004124339E0,6.880891113E0,-1.122804920E1,1.408747712E1
6.471388333E-1,-3.313578519E0,4.406826582E0,-1.205966126E1,1.326029233E1
6.571178333E-1,-1.342874470E0,3.702602547E0,-1.253122283E1,1.313560516E1
6.670968333E-1,-8.823109281E-1,4.178830195E0,-1.197206880E1,1.271107886E1
6.770758333E-1,-8.359237969E-1,4.424377584E0,-9.460710141E0,1.047754370E1
6.870548333E-1,-3.316108024E-1,4.373349518E0,-7.110469172E0,8.354335616E0
6.970348333E-1,4.056692970E-1,3.951417360E0,-3.079492257E0,5.026085882E0
7.070138333E-1,7.913288373E-1,4.781367057E0,1.568816292E0,5.094002044E0
7.169928333E-1,2.195425994E0,5.131950905E0,5.057467318E0,7.532250066E0
7.269718333E-1,3.621047337E0,5.106813140E0,7.787064528E0,9.991491292E0
7.369508334E-1,4.586934857E0,5.047008988E0,9.925273179E0,1.204256280E1
7.469298333E-1,5.015344561E0,3.957305506E0,1.020405322E1,1.203896383E1
7.569088333E-1,5.214601883E0,2.539800099E0,8.691392562E0,1.044906513E1
7.668878332E-1,5.499468289E0,2.113961416E0,5.267377682E0,7.903053332E0
7.768668333E-1,5.442923375E0,3.310507561E0,2.554163200E0,6.863572308E0
7.868458333E-1,3.399934877E0,6.243273881E0,9.394814944E-1,7.170819437E0
7.968248333E-1,2.625180557E0,1.017052996E0,9.620412219E-1,2.975145890E0
8.068038333E-1,3.744230629E0,-2.231216217E0,8.856844792E-1,4.447698934E0
8.167828333E-1,3.971094995E0,-4.008127458E0,-4.557388584E-1,5.660598828E0
8.267618333E-1,3.365619323E0,-5.041681589E0,-2.809961343E-1,6.068352783E0
8.367408334E-1,3.156572008E0,-4.496559123E0,9.605522284E-1,5.577244066E0
8.467198333E-1,1.799899862E0,-5.884683441E0,2.748638084E0,6.739744063E0
8.566998333E-1,-4.613599330E-1,-5.856054304E0,2.935180635E0,6.566697066E0
8.666788333E-1,-1.529986541E0,-3.631932514E0,1.986625724E0,4.413442462E0
8.766578333E-1,-2.404476233E0,-3.492801526E0,2.313775686E0,4.830603107E0
8.866368333E-1,-2.042667485E0,-3.125084751E0,1.549397835E0,4.042187379E0
8.966158333E-1,-9.349697828E-1,-2.284598372E0,5.899419594E-1,2.538028710E0
9.065948332E-1,-5.175926059E-1,-1.466150149E0,6.687904930E-1,1.692565830E0
9.165738333E-1,-5.571168602E-2,3.998203272E-1,9.571462253E-1,1.038792079E0
9.265528333E-1,6.281020582E-1,1.710038390E0,1.662666588E0,2.466415147E0
9.365318333E-1,1.785411631E0,2.233013066E0,2.542143663E0,3.825772661E0
9.465108333E-1,1.706411070E0,3.257539389E0,3.723840511E0,5.233582880E0
9.564898333E-1,1.895258009E-2,4.642236069E0,4.250792755E0,6.294438336E0
9.664688333E-1,-1.496603032E0,4.149765440E0,2.073240237E0,4.874289582E0
9.764478334E-1,-2.670563722E0,2.987987132E0,-3.569293924E0,5.366547941E0
9.864268333E-1,-5.116807201E0,3.231037176E0,-8.503166013E0,1.043672120E1
9.964066250E-1,-9.193490047E0,3.465454683E0,-8.457226778E0,1.296357667E1
1.006385625E0,-9.313487776E0,3.725746411E-1,-9.698154459E0,1.345117342E1
1.016364625E0,-8.388558832E0,8.211218628E-1,-9.068176614E0,1.238038721E1
1.026343625E0,-8.486107931E0,3.232886066E0,-6.918688100E0,1.141638407E1
1.036322625E0,-7.078095478E0,5.644652900E0,-2.970988984E0,9.528290376E0
1.046301625E0,-4.792907122E0,4.091808423E0,-1.015412267E0,6.383252848E0
1.056280625E0,-2.667440139E0,1.911933976E0,-5.532983360E-1,3.328192824E0
1.066259625E0,-3.595716029E-1,3.113223967E0,-2.904382181E-1,3.147349609E0
1.076238625E0,1.863527509E0,3.215556673E0,-9.321581492E-1,3.831639115E0
1.086217625E0,8.241689054E0,3.703126457E-1,4.968539938E-1,8.264952136E0
1.096196625E0,1.070902461E1,-1.214945870E0,4.943891001E0,1.185754442E1
1.106175625E0,7.841374052E0,-2.365913554E0,8.197244368E0,1.158790357E1
1.116154625E0,2.925588278E0,-3.932020099E0,7.746553849E0,9.166730353E0
1.126133625E0,-1.421648160E0,-6.750236249E0,1.101962754E0,6.985778039E0
1.136112625E0,-5.756811267E0,-8.225200490E0,-6.954787055E0,1.221326582E1
1.146091625E0,-6.861126940E0,-3.009915653E0,-3.143892320E0,8.125190093E0
1.156071625E0,-6.905693248E0,-9.205056717E-1,1.772813952E0,7.188796786E0
1.166050625E0,-3.108930064E0,-2.685058092E0,-1.240472767E0,4.291125236E0
1.176029625E0,2.865077198E-2,-4.177671862E0,1.731755534E0,4.522470595E0
1.186008625E0,4.025913227E-1,-5.174039748E0,3.934261630E0,6.512386786E0
1.195987625E0,8.859794712E-1,-2.678425303E0,3.595070497E0,4.569841748E0
1.205966625E0,3.754018868E0,-1.871960510E0,4.923198874E0,6.467981212E0
1.215945625E0,7.111946763E0,-2.426419372E0,4.547158588E0,8.783162811E0
1.225924625E0,9.567373295E0,-4.250415025E0,5.041820168E0,1.161983693E1
1.235903625E0,8.815308511E0,-6.711550485E0,4.364492741E0,1.190812206E1
1.245882625E0,6.009595170E0,-6.623730569E0,2.808561227E0,9.374276341E0
1.255861625E0,4.741007820E0,-4.039067708E0,3.679582644E0,7.233985867E0
1.265840625E0,4.256569512E0,-1.856143645E0,2.431898944E0,5.241925764E0
1.275819625E0,3.366162529E0,1.233233330E-1,-1.840195949E0,3.838304306E0
1.285798625E0,1.585288337E0,3.693645197E-1,-2.643377677E0,3.104354169E0
1.295777625E0,-1.114651796E0,-1.465569812E0,5.781038328E-1,1.929908688E0
1.305756625E0,-4.472750430E0,-2.104259424E0,1.365826546E0,5.128243977E0
1.315736625E0,-6.717791219E0,-1.427422577E0,1.366047571E0,7.002309622E0
1.325715625E0,-6.303942252E0,-9.020645767E-1,1.798615229E-1,6.370695298E0
1.335694625E0,-2.465125308E0,4.482266774E0,-2.302524766E0,5.609739612E0
1.345673625E0,7.009900571E0,9.016121192E0,-4.123292756E-1,1.142799907E1
1.355652625E0,9.914716616E0,6.313850943E0,3.867169508E0,1.237421995E1
1.365631625E0,6.778390592E0,3.719526143E0,-1.683853097E0,7.913078731E0
1.375610625E0,2.537194580E-1,2.791547291E0,-4.600022095E0,5.386772050E0
1.385589625E0,-5.454985596E0,1.243895143E0,-1.526773496E0,5.799584492E0
1.395568625E0,-9.670131678E0,-6.726888317E-1,9.132579017E-1,9.736426291E0
1.405547625E0,-1.144285368E1,-2.323499313E0,1.284163163E0,1.174677081E1
1.415526625E0,-1.108472108E1,-3.401448137E0,5.995313931E-1,1.161035438E1
1.425505625E0,-9.362071706E0,-3.739171034E0,-4.512939513E-2,1.008126100E1
1.435484625E0,-7.113365298E0,-6.951637745E-1,1.684016819E0,7.342964741E0
1.445463625E0,-3.662477199E0,3.774888166E0,3.522790725E0,6.330369214E0
1.455442625E0,1.940399684E0,5.404339353E0,4.521906803E0,7.308876515E0
1.465421625E0,4.827574094E0,1.775325769E0,4.109443041E0,6.583674910E0
1.475401625E0,5.489891135E0,-2.151664263E0,2.441058168E0,6.381796671E0
1.485380625E0,4.866793123E0,-2.361232565E0,1.264391972E0,5.555158107E0
1.495359625E0,2.568922157E0,-3.313932860E-1,-3.805399522E0,4.603286660E0
1.505338625E0,1.009873785E0,1.515762604E0,-6.957696630E0,7.192143194E0
1.515317625E0,6.097067177E-2,2.164370847E0,-6.056676950E0,6.432072315E0
1.525296625E0,5.406160176E-1,3.521578013E0,-5.396456137E0,6.466491801E0
1.535275625E0,-1.127715061E0,4.492232183E0,-5.928200759E0,7.522995114E0
1.545254625E0,-5.850889458E0,1.285168299E0,-6.433175658E0,8.790353466E0
1.555233625E0,-8.792464609E0,-1.642656539E0,-3.344453571E0,9.549404384E0
1.565212625E0,-7.784002342E0,3.487630248E-2,2.664958581E0,8.227631071E0
1.575191625E0,-6.187983779E0,1.611524209E0,2.874097112E0,7.010605376E0
1.585170625E0,-2.491804399E0,2.825934767E0,7.587756336E-2,3.768388763E0
1.595149625E0,5.313595244E0,5.826837521E0,-3.293865216E0,8.546103087E0
1.605128625E0,2.112726777E0,6.056507966E0,-3.421628047E0,7.269968478E0
1.615107625E0,-7.817294633E-1,4.644538702E0,-7.535043687E-2,4.710469021E0
1.625086625E0,-1.726962279E0,3.824946179E0,5.167289722E-1,4.228430065E0
1.635065625E0,-2.666254324E-1,4.219682937E0,-1.829455783E0,4.606921062E0
1.645045625E0,2.040506062E0,5.037808394E0,-3.745571980E0,6.600945982E0
1.655024625E0,2.699825528E0,4.000207697E0,-2.571845180E0,5.468556220E0
1.665003625E0,4.687309331E-1,1.637643136E0,3.140559407E0,3.572771630E0
1.674982625E0,-9.755921441E0,-4.653176794E0,1.255790835E1,1.656898064E1
1.684961625E0,-1.924552443E1,-4.503057134E0,8.398645864E0,2.147568361E1
1.694940625E0,-1.814880780E1,-5.401432117E0,-9.723700944E0,2.128626443E1
1.704919625E0,-9.929694843E0,-5.002071381E0,-2.476871663E1,2.714974919E1
1.714898625E0,-6.265964586E0,-2.915292501E0,-1.932792924E1,2.052632678E1
1.724877625E0,-4.717248829E0,-2.260297928E0,-8.236357563E0,9.756995907E0
1.734856625E0,-4.462560195E0,-3.387785532E0,-5.425291096E0,7.799058776E0
1.744835625E0,-4.518640840E0,-3.305936792E0,-2.941979047E-1,5.606593041E0
1.754814625E0,-3.211794574E0,-4.967765182E-1,8.294950172E0,8.908906198E0
1.764793625E0,3.671642125E-2,8.866607888E0,8.590937397E0,1.234594220E1
1.774772625E0,-7.884970307E-1,9.363197880E0,1.020525073E1,1.387221484E1
1.784751625E0,4.525195277E-1,2.254697465E0,1.206452848E1,1.228174589E1
1.794730625E0,2.487689713E0,-1.639255214E-1,8.431460438E0,8.792326018E0
1.804710625E0,1.572249046E0,-1.793044002E0,3.811357542E0,4.495933737E0
1.814689625E0,5.986630815E-1,-5.858284432E0,9.894351348E-1,5.971337861E0
1.824668625E0,-4.692226839E-1,-1.013446083E1,-2.169378403E-1,1.014763658E1
1.834647625E0,-6.120409262E-1,-8.874804515E0,-1.695542266E0,9.056026327E0
1.844626625E0,7.494692051E-1,-5.125541772E0,-2.903568249E0,5.938315512E0
1.854605625E0,2.088663438E0,-1.784233418E0,-3.759150385E0,4.655879666E0
1.864584625E0,1.796231319E0,6.531988925E-1,-3.226128146E0,3.749802470E0
1.874563625E0,1.290251284E0,3.862820933E0,-1.700417382E0,4.413338103E0
1.884542625E0,1.240924757E0,7.202660467E0,9.274634197E-1,7.367387627E0
1.894521625E0,1.361894878E0,8.170035519E0,5.292884406E0,9.829489477E0
1.904500625E0,-2.795033401E-1,5.704419630E0,9.327091323E0,1.093678006E1
1.914479625E0,3.768115336E-1,6.817009698E0,9.804648628E0,1.194758314E1
1.924458625E0,2.844908981E0,1.461867063E0,7.619064667E0,8.263214195E0
1.934437625E0,4.227680174E0,1.221825997E0,5.229081928E0,6.834430205E0
1.944416625E0,5.442278427E0,1.691936288E0,5.127566078E0,7.666353550E0
1.954395625E0,4.964619965E0,2.232583880E-2,5.365707968E0,7.310182750E0
1.964374625E0,4.223457022E0,-2.868150494E0,4.686001601E0,6.929825934E0
1.974353625E0,3.963353866E0,-3.354355831E0,3.427211846E0,6.221387140E0
1.984333625E0,4.369040120E0,-2.144805479E-1,1.460661660E0,4.611729173E0
1.994312625E0,2.484383990E0,1.261176004E0,1.582570551E0,3.204256274E0
2.004290750E0,5.059750655E-1,-1.649726992E0,1.510896259E0,2.293559988E0
2.014269750E0,1.920649543E-1,-1.119858742E-1,4.862567925E-1,5.346732189E-1
2.024248750E0,6.645696804E-1,-1.114748275E0,-6.656563854E-1,1.458566077E0
2.034227750E0,1.738392124E0,-2.511810647E0,-2.284344895E0,3.814371705E0
2.044206750E0,1.207631881E0,-1.885985495E0,1.086719647E-2,2.239516497E0
2.059615542E0,2.856566575E-1,-7.606332940E-1,-1.464916971E0,1.675155057E0
2.069593542E0,2.142856894E-1,-5.611110932E-1,-1.112584221E0,1.264360575E0
2.079570542E0,2.058146819E-1,-2.807733554E-1,-8.662462878E-1,9.335823432E-1
2.089547542E0,3.138215259E-1,-6.061340690E-2,-6.192429417E-1,6.968642307E-1
2.099524542E0,3.120726237E-1,1.264059851E-1,-4.764644605E-1,5.834262401E-1
2.109502542E0,1.425790912E-1,1.034255505E-1,-4.363660097E-1,4.705751121E-1
2.119479542E0,2.470214725E-2,-5.149584353E-2,-5.611736584E-1,5.640725954E-1
2.129456542E0,-2.990353793E-2,-2.116578045E-1,-7.731071591E-1,8.021146597E-1
2.139434542E0,-1.314785908E-1,-1.720990518E-1,-9.509344357E-1,9.752850888E-1
2.149411542E0,-2.320903149E-1,-2.261995375E-3,-1.197814406E0,1.220094415E0
2.159388542E0,-2.827288835E-1,1.397499159E-1,-1.352811229E0,1.389087427E0
2.169366542E0,-2.739097475E-1,2.107123098E-1,-1.309389805E0,1.354225937E0
2.179343542E0,-3.146790200E-1,3.074395823E-1,-9.221608722E-1,1.021725333E0
2.189320542E0,-4.087237363E-1,3.797222775E-1,-2.113376695E-1,5.965800124E-1
2.199298542E0,-6.384874441E-1,2.238588971E-1,5.506469160E-1,8.723480086E-1
2.209275542E0,-6.169711523E-1,3.942397445E-2,1.217634128E0,1.365591638E0
2.219252542E0,-5.587980808E-1,-1.703223753E-1,1.790606883E0,1.883490912E0
2.229230542E0,-5.047969978E-1,-5.670366615E-1,1.993169636E0,2.132856249E0
2.239207542E0,-4.589011057E-1,-7.746867844E-1,1.788793661E0,2.002626426E0
2.249184542E0,-4.402827671E-1,-4.768614864E-1,1.560510176E0,1.690099938E0
2.259162542E0,-4.550202356E-1,1.303636730E-1,1.306498942E0,1.389596196E0
2.269139542E0,-4.533827960E-1,5.970735160E-1,9.454228503E-1,1.206597327E0
2.279116542E0,-4.189537324E-1,7.671248728E-1,7.712781501E-1,1.165706989E0
2.289094542E0,-2.298546320E-1,6.526992479E-1,9.609460384E-1,1.184173445E0
2.299071542E0,1.861452332E-1,4.555708972E-1,1.445715884E0,1.527183456E0
2.309048542E0,6.236587590E-1,3.474234277E-1,2.152077076E0,2.267396972E0
2.319026542E0,9.059205231E-1,2.939442086E-1,2.737078723E0,2.898050229E0
2.329003542E0,1.047543302E0,1.495191514E-2,3.131722510E0,3.302310769E0
2.338980542E0,1.002008403E0,-6.569937354E-1,3.292009310E0,3.503282304E0
2.348957542E0,1.041694771E0,-1.279540939E0,3.349154148E0,3.733521999E0
2.358935542E0,1.078928671E0,-1.756189294E0,3.365252118E0,3.946290629E0
2.368912542E0,1.091925423E0,-2.029558613E0,3.210162908E0,3.951778738E0
2.378889542E0,1.176316825E0,-2.022126802E0,2.867987357E0,3.701090319E0
2.388867542E0,1.030235398E0,-1.768895001E0,2.248400599E0,3.040670938E0
2.398844542E0,8.687627833E-1,-1.512005768E0,1.480398644E0,2.287463739E0
2.408821542E0,6.797339956E-1,-1.362362655E0,9.416128045E-1,1.790168982E0
2.418799542E0,4.715351115E-1,-1.151445108E0,8.061755025E-1,1.482595744E0
2.428776542E0,2.652966526E-1,-9.044555032E-1,1.110877419E0,1.456870176E0
2.438753542E0,1.596667019E-1,-8.887510514E-1,1.457024984E0,1.714145178E0
2.448731542E0,1.775979196E-1,-1.208649589E0,1.556210133E0,1.978424835E0
2.458708542E0,3.027803747E-1,-1.552761446E0,1.441492440E0,2.140244032E0
2.468685542E0,3.809170099E-1,-1.702854209E0,1.075726882E0,2.049877691E0
2.478663542E0,4.165505268E-1,-1.695862401E0,5.591891134E-1,1.833618305E0
2.488640542E0,4.620418645E-1,-1.599872462E0,-9.408111513E-2,1.667910620E0
2.498617542E0,3.659517923E-1,-1.496203083E0,-7.929672271E-1,1.732437994E0
2.508595542E0,2.280987132E-1,-1.282687325E0,-1.283253336E0,1.828675729E0
2.518572542E0,1.351282766E-1,-1.001986476E0,-1.579838732E0,1.875667073E0
2.528549542E0,1.199819781E-1,-7.885046321E-1,-1.694289792E0,1.872632673E0
2.538526542E0,1.632488523E-1,-6.945062551E-1,-1.670324394E0,1.816307438E0
2.548504542E0,2.193824150E-1,-8.429708612E-1,-1.469291857E0,1.708082867E0
2.558481542E0,2.763289233E-1,-1.020259609E0,-1.323212623E0,1.693569895E0
2.568458542E0,3.190175079E-1,-1.105951139E0,-1.254412529E0,1.702483741E0
2.578436542E0,3.443514468E-1,-1.050002056E0,-1.350134958E0,1.744690988E0
2.588413542E0,3.018337105E-1,-8.362559187E-1,-1.480021498E0,1.726525756E0
2.598390542E0,1.927213043E-1,-5.716337425E-1,-1.607714748E0,1.717164333E0
2.608368542E0,7.359788015E-2,-3.441296911E-1,-1.733710551E0,1.769065902E0
2.618345542E0,-5.787661761E-2,-1.716268891E-1,-1.663143429E0,1.672976855E0
2.628322542E0,-1.879672256E-1,-5.479805857E-2,-1.475533760E0,1.488467125E0
2.638300542E0,-1.477781430E-1,8.022964597E-3,-1.473448058E0,1.480861887E0
2.648277542E0,-4.038233310E-3,1.549453676E-1,-1.433609809E0,1.441964444E0
2.658254542E0,2.457605204E-1,2.717019850E-1,-1.017942942E0,1.081863224E0
2.668232542E0,5.119631991E-1,1.499386892E-1,-6.032531458E-1,8.052963962E-1
2.678209542E0,6.819003890E-1,-6.388609350E-2,-2.550438523E-1,7.308330453E-1
2.688186542E0,7.895661210E-1,-2.214425352E-1,-6.033566415E-2,8.222480455E-1
2.698163542E0,8.918176237E-1,-3.025173962E-1,-8.073426068E-2,9.451843575E-1
2.708141542E0,9.150041726E-1,-3.337485445E-1,-1.669339138E-1,9.881739009E-1
2.718118542E0,9.236959125E-1,-3.048059964E-1,-3.734540623E-1,1.041915914E0
2.728095542E0,9.374598196E-1,-1.467431858E-1,-5.413463348E-1,1.092437792E0
2.738073542E0,8.176328292E-1,7.008004904E-2,-5.481355369E-1,9.868572458E-1
2.748050542E0,6.257000220E-1,2.345470226E-1,-3.875183702E-1,7.724527885E-1
2.758027542E0,4.356244366E-1,3.970078164E-1,-1.515949130E-1,6.085761035E-1
2.768005542E0,3.293837442E-1,4.657523614E-1,9.833262563E-3,5.705397498E-1
2.777981292E0,2.361987148E-1,4.136361283E-1,2.925151491E-1,5.589720852E-1
2.787958292E0,1.443807645E-1,2.517837372E-1,6.008622193E-1,6.672902383E-1
2.797936292E0,-3.282626867E-2,2.537106872E-2,7.214651352E-1,7.226570392E-1
2.807913292E0,-1.174575524E-1,-1.906373566E-1,8.574824810E-1,8.862364716E-1
2.817890292E0,-4.132037267E-2,-2.966076154E-1,8.721765339E-1,9.221579892E-1
2.827868292E0,5.765091509E-2,-2.513440266E-1,6.784647113E-1,7.258180297E-1
2.837845292E0,2.280228455E-1,-2.056652856E-1,4.070030469E-1,5.098471417E-1
2.847822292E0,5.144603987E-1,-1.418519899E-1,2.433201849E-2,5.342130062E-1
2.857799292E0,7.962942928E-1,-3.368230104E-2,-3.790282130E-1,8.825426247E-1
2.867777292E0,7.336232507E-1,4.758408549E-1,-1.067430267E0,1.379867736E0
2.877754292E0,2.343097718E-1,1.759613131E0,-7.327625406E-1,1.920437550E0
2.887731292E0,-1.982219262E-1,1.165872821E0,1.218922269E0,1.698329433E0
2.897709292E0,-5.718416110E-1,1.003189248E-1,1.795565906E0,1.887093966E0
2.907686292E0,-5.739634193E-1,-5.487828237E-1,2.258834955E0,2.394354182E0
2.917663292E0,-6.419761853E-1,-8.915670705E-1,2.675023978E0,2.891846909E0
2.927641292E0,-8.081901607E-1,-7.430852151E-1,2.428124712E0,2.664795788E0
2.937618292E0,-8.346179675E-1,-6.998488560E-1,1.938360760E0,2.223424837E0
2.951153625E0,-1.000829896E-1,5.941572171E-1,2.370373517E-1,6.474767252E-1
2.961130625E0,8.489367753E-2,1.400402302E-1,5.930889308E-2,1.741716032E-1
2.971108625E0,-3.106806940E-1,3.976153421E-1,-2.982898593E-2,5.054801898E-1
2.981085625E0,-4.556825790E-1,4.669215122E-1,4.992060363E-2,6.543350655E-1
2.991062625E0,-4.399105918E-1,4.418466049E-1,-2.707208222E-1,6.797348856E-1
3.001039625E0,-4.651243705E-1,4.695910585E-1,-3.948554564E-1,7.699138092E-1
3.011017625E0,-4.391232643E-1,4.064440531E-1,-1.284046218E0,1.416615933E0
3.020994625E0,-3.683608451E-1,6.779378772E-1,-1.453266394E0,1.645379193E0
3.030971625E0,-3.785630670E-1,1.027081263E0,-1.793804725E0,2.101414121E0
3.040949625E0,-1.092923543E-1,1.198744405E0,-1.887379471E0,2.238556284E0
3.050926625E0,-1.308869988E-2,1.629156195E0,-2.013061863E0,2.589737301E0
3.060903625E0,-1.787444124E-1,1.907148322E0,-1.713774469E0,2.570250420E0
3.070880625E0,4.258088619E-2,1.847693834E0,-1.686521766E0,2.502027438E0
3.080858625E0,4.166272715E-1,1.815888781E0,-1.476973345E0,2.377494608E0
3.090835625E0,3.912570798E-1,1.663779606E0,-1.373545455E0,2.192685978E0
3.100812625E0,-1.214112934E-1,1.030597779E0,-1.238712171E0,1.615945644E0
3.110790625E0,-5.893019816E-1,5.816851062E-1,-8.920553130E-1,1.217126563E0
